Product ID,Product Name,Price,Images,About this Item
B0D1V9YCXS,Toshiba 126 cm (50 inches) 4K Ultra HD Smart QLED TV 50C450ME (Silver),"₹33,999",https://m.media-amazon.com/images/I/81eYluiw2jL._AC_UY218_.jpg," Resolution: 4K Ultra HD (3840 x 2160) QLED TV | Refresh Rate: 60 hertz | HDR game mode with ALLM VRR Supported | Bezel-less Design Connectivity: 3 HDMI ports to connect set top box (HDMI 1 eARC supported) | 2 USB ports to connect hard drives and other USB devices | Built- in WiFi | Bluetooth 4.2 | Ethernet RJ45 | 3.5mm earphone Jack Sound: 24 Watts Audio Output | Dobly Atoms | Dolby MS12 Sound Processing | User Equalizer | MPEG-H Audio Smart TV Features: Vidaa TV | Built-in Vidaa Voice Control and Voice Assistant | Screen Sharing | Airplay | Built-in Amazon Alexa | Auto Low Latency Mode for VRR | AI Picture Quality | Supported Apps: Netflix, YouTube, Prime Video, Disney+Hotstar, SonyLiv, Hungama, JioCinema, Zee5, Eros Now Display: Quantum Dot Technology | Wide Color Gamut | 8 Bit Color Depth | 3000:1 Native Contrast Ratio | 3D Digital Comb Filter | MPEG and Mosquito noise reduction | 4K upscaling Picture Quality Enhancement | Dolby Vision | HDR 10+ Decoding Warranty Information: 2 Year Comprehensive Warranty on product provided by Toshiba from date of purchase. › See more product details"
B0B9WYJYK2,Hisense 139 cm (55 inches) Tornado 2.0 Series 4K Ultra HD Smart LED Google TV 55A7H (Silver),"₹35,999",https://m.media-amazon.com/images/I/612psWAS7cL._AC_UY218_.jpg," Resolution : 4K Ultra HD (3840x2160) | Refresh Rate : 60 Hertz | 178 Degree wide viewing angle Connectivity: 3 HDMI ports to connect set top box, Blu Ray players, gaming console (HDMI 1 eARC supported) | 2 USB ports to connect hard drives and other USB devices | Dual-band Wi-Fi | Bluetooth 5.1 Sound : 102 Watts Output | JBL 6 Speakers System | Dolby Atmos for remarkable sound quality Smart TV features: Google TV with Watchlist | Google Play Store | Google Assistant | Chromecast, Miracast, DLNA, Airplay | Auto Low Latency Mode for VRR | Supported Apps : Netflix, Youtube, Prime Video, Hotstar, SonyLiv, Hungama, JioCinema, Zee5, Eros Now Display :10 bit Panel | Bezel-less Floating Display Design | ALLM | Decoding of Dolby Vision, HDR10, HLG | 1 Billion Colours | MEMC Warranty Information: 2 Year Comprehensive Warranty on product provided by Hisense from date of purchase. › See more product details"
B0C3H1PFJS,Hisense 164 cm (65 inches) 4K Ultra HD Smart QLED Google TV 65U6K (Gray) | Dolby Vision & Atmos | HSR 120 Mode | 32 Full Array Local Dimming Zones,"₹57,999",https://m.media-amazon.com/images/I/61bhlI3mCbL._AC_UY218_.jpg," Resolution: 4K Ultra HD (3840x2160) | Refresh Rate : 120 High Refresh Rate | 32 Full Array Local Dimming Zones | Light Sensing | ALLM VRR Supported Connectivity: 3 HDMI ports to connect set-top box, Blu Ray players, gaming console (HDMI 1 eARC supported) | 2 USB 2.0 port to connect hard drives and other USB devices | Dual-band Wi-Fi | Bluetooth 5.0 Sound : Powerful 24 Watts Output speakers | Dolby Atmos for remarkable sound quality Smart TV features: Auto Low Latency Mode for VRR | Light Sensing | Quad-core processor | Dual-band Wi-Fi |2GB RAM + 16GB Storage Apps: Netflix, Youtube, Prime Video etc. Display : 120 High Refresh Rate | 32 Full Array Local Dimming Zones | Bezel-less Floating Display Design| VRR& ALLM | Dolby Vision , HDR 10+, HLG | 1 Billion Colours | MEMC Warranty Information: 2 year warranty provided by the manufacturer from date of purchase › See more product details"
B0C3RXSTD1,Hisense 108 cm (43 inches) Bezelless Series 4K Ultra HD Smart LED Google TV 43A6K (Gray),"₹23,999",https://m.media-amazon.com/images/I/71XAVZfelyL._AC_UY218_.jpg," Resolution : 4K Ultra HD (3840x2160) | Refresh Rate : 120 High Refresh Rate | ALLM VRR Supported | Bezel-less Design Connectivity: 3 HDMI ports to connect set top box, Blu Ray players, gaming console | 2 USB ports to connect hard drives and other USB devices | Dual-band Wi-Fi | Bluetooth 5.1 Sound : 24 Watts Output | Dolby Atmos | Dolby Digital Smart TV features: Google TV | Watchlist | Google Assistant | Far Field Vioce Control | Chromecast, Miracast, DLNA | Auto Low Latency Mode for VRR | Supported Apps : Netflix, Youtube, Prime Video, Hotstar, SonyLiv, Hungama, JioCinema, Zee5, Eros Now Display :10 bit Panel | Bezel-less Floating Display Design | ALLM | Decoding of Dolby Vision, HDR10, HLG | 1 Billion Colours | MEMC Warranty Information：2 year warranty provided by the manufacturer from date of purchase › See more product details"
B0C3H1GDY1,Hisense 139 cm (55 inches) 4K Ultra HD Smart Mini LED QLED TV 55U7K (Black),"₹59,999",https://m.media-amazon.com/images/I/61G4hZBZwRL._AC_UY218_.jpg," Resolution : 4K Ultra HD (3840x2160) | Refresh Rate : 240 High Refresh Rate | 240 Full Array Local Dimming Zones | Light Sensing | FreeSync & ALLM VRR Supported Connectivity: 2 HDMI 2.1 and 2 HDMI2.0 ports to connect set top box, Blu Ray players, gaming console (HDMI 3 eARC supported) | 1 USB 3.0 and 1 USB 2.0 ports to connect hard drives and other USB devices | Dual-band Wi-Fi | Bluetooth 5.1 Sound : Powerful 49 Watts Output 2.1 Channel speakers with Sub woofer | Dolby Atmos for remarkable sound quality Smart TV features: Hi View Engine | Auto Low Latency Mode for VRR | Light Sensing | FreeSync Premium | Quad-core processor | Dual-band Wi-Fi | 3GB RAM + 8GB Storage Apps: Netflix, Youtube, JioCinema, Prime Video etc. Display :240 High Refresh Rate | 240 Full Array Local Dimming Zones | Bezel-less Floating Display Design| AMD FreeSync | VRR& ALLM | Dolby Vision IQ, HDR10, HDR10+, HLG | 1 Billion Colours | MEMC Warranty Information: 2 year warranty provided by the manufacturer from date of purchase › See more product details"
B0C7Z6GGRG,Hisense 164 cm (65 inches) 4K Ultra HD Smart Mini LED QLED TV 65U7K (Black) | HSR 240 Mode | 384 Full Array Local Dimming Zones | 1000 Nits Panel,"₹84,999",https://m.media-amazon.com/images/I/61G4hZBZwRL._AC_UY218_.jpg," Resolution : 4K Ultra HD (3840x2160) | Refresh Rate : 240 High Refresh Rate | 384 Full Array Local Dimming Zones | Light Sensing | FreeSync & ALLM VRR Supported Connectivity: 2 HDMI 2.1 and 2 HDMI2.0 ports to connect set top box, Blu Ray players, gaming console (HDMI 3 eARC supported) | 1 USB 3.0 and 1 USB 2.0 ports to connect hard drives and other USB devices | Dual-band Wi-Fi | Bluetooth 5.1 Sound : Powerful 49 Watts Output 2.1 Channel speakers with Sub woofer | Dolby Atmos for remarkable sound quality Smart TV features: Hi View Engine | Auto Low Latency Mode for VRR | Light Sensing | FreeSync Premium | Quad-core processor | Dual-band Wi-Fi | 3GB RAM + 8GB Storage Apps: Netflix, Youtube, JioCinema, Prime Video etc. Display : 240 High Refresh Rate | 10 bit Panel | 384 Full Array Local Dimming Zones | Bezel-less Floating Display Design| AMD FreeSync | VRR& ALLM | Dolby Vision IQ, HDR10, HDR10+, HLG | 1 Billion Colours | MEMC Warranty Information: 2 year warranty provided by the manufacturer from date of purchase › See more product details"
B0C73T4VFV,Hisense 164 cm (65 inches) Tornado Series 4K Ultra HD Smart QLED TV 65E7K PRO (Dark Grey),No price,https://m.media-amazon.com/images/I/71LHJSEVRcL._AC_UY218_.jpg," Resolution : 4K Ultra HD (3840x2160) | Refresh Rate : 240 High Refresh Rate | Light Sensing | HDR Game Mode | FreeSync Premium & ALLM VRR 48-144Hz Supported | Anti-Reflection Screen Connectivity: 2 HDMI ports to connect set top box, Blu-Ray players, gaming console | 2 USB ports to connect hard drives and other USB devices | 3.5mm to connect your headphones | Bluetooth Sound : Powerful 49 Watts Output 2.1 Channel speakers with Sub woofer | Dolby Atmos | DTS Virtual X for remarkable sound quality Smart TV features: Hi View Engine | Auto Low Latency Mode for VRR | Light Sensing | FreeSync Premium | Quad core processor | Dual band Wi-Fi | 3GB RAM + 8GB StorageApps: Netflix, Youtube, JioCinema, Prime Video etc. Display : 240 High Refresh Rate | 10 bit Panel | Bezel-less Floating Display Design | ALLM | Dolby Vision IQ, HDR10, HDR10+, HLG, Filmmaker mode| 1 Billion Colours | MEMC Warranty Information：2 year warranty provided by the manufacturer from date of purchase › See more product details"
B0C39N2CXJ,Hisense 139 cm (55 inches) 4K Ultra HD Smart QLED Google TV 55U6K (Gray),"₹41,999",https://m.media-amazon.com/images/I/61bhlI3mCbL._AC_UY218_.jpg," Resolution: 4K Ultra HD (3840x2160) | Refresh Rate : 120 High Refresh Rate | 32 Full Array Local Dimming Zones | Light Sensing | ALLM VRR Supported Connectivity: 3 HDMI ports to connect set-top box, Blu Ray players, gaming console (HDMI 1 eARC supported) | 2 USB 2.0 port to connect hard drives and other USB devices | Dual-band Wi-Fi | Bluetooth 5.0 Sound : Powerful 24 Watts Output speakers | Dolby Atmos for remarkable sound quality Smart TV features: Auto Low Latency Mode for VRR | Light Sensing | Quad-core processor | Dual-band Wi-Fi |2GB RAM + 16GB Storage Apps: Netflix, Youtube, Prime Video etc. Display : 120 High Refresh Rate | 32 Full Array Local Dimming Zones | Bezel-less Floating Display Design| VRR& ALLM | Dolby Vision , HDR 10+, HLG | 1 Billion Colours | MEMC Warranty Information: 2 year warranty provided by the manufacturer from date of purchase › See more product details"
B0B9WYJYK2,Hisense 139 cm (55 inches) Tornado 2.0 Series 4K Ultra HD Smart LED Google TV 55A7H (Silver),"₹35,999",https://m.media-amazon.com/images/I/612psWAS7cL._AC_UY218_.jpg," Resolution : 4K Ultra HD (3840x2160) | Refresh Rate : 60 Hertz | 178 Degree wide viewing angle Connectivity: 3 HDMI ports to connect set top box, Blu Ray players, gaming console (HDMI 1 eARC supported) | 2 USB ports to connect hard drives and other USB devices | Dual-band Wi-Fi | Bluetooth 5.1 Sound : 102 Watts Output | JBL 6 Speakers System | Dolby Atmos for remarkable sound quality Smart TV features: Google TV with Watchlist | Google Play Store | Google Assistant | Chromecast, Miracast, DLNA, Airplay | Auto Low Latency Mode for VRR | Supported Apps : Netflix, Youtube, Prime Video, Hotstar, SonyLiv, Hungama, JioCinema, Zee5, Eros Now Display :10 bit Panel | Bezel-less Floating Display Design | ALLM | Decoding of Dolby Vision, HDR10, HLG | 1 Billion Colours | MEMC Warranty Information: 2 Year Comprehensive Warranty on product provided by Hisense from date of purchase. › See more product details"
B0B2CR7N3N,Hisense 139 cm (55 inches) Bezelless Series 4K Ultra HD Smart LED Google TV 55A6H (Black),"₹34,999",https://m.media-amazon.com/images/I/81QzYGPkNeL._AC_UY218_.jpg," Resolution : 4K Ultra HD (3840x2160) | Refresh Rate : 60 Hertz | 178 Degree wide viewing angle Connectivity: 3 HDMI ports to connect set top box, Blu Ray players, gaming console | 2 USB ports to connect hard drives and other USB devices | Dual-band Wi-Fi | Bluetooth 5.1 Sound : 24 Watts Output | Dolby Atmos | Dolby Digital Smart TV features: Google TV | Watchlist | Google Assistant | Far Field Vioce Control | Chromecast, Miracast, DLNA | Auto Low Latency Mode for VRR | Supported Apps : Netflix, Youtube, Prime Video, Hotstar, SonyLiv, Hungama, JioCinema, Zee5, Eros Now Display :10 bit Panel | Bezel-less Floating Display Design | ALLM | Decoding of Dolby Vision, HDR10, HLG | 1 Billion Colours | MEMC › See more product details"
B0CG5V3KG1,Xiaomi 108 cm (43 inches) X Pro 4K Dolby Vision IQ Series Smart Google TV L43M8-5XIN (Black),"₹32,999",https://m.media-amazon.com/images/I/7198z1VwqzL._AC_UY218_.jpg," Resolution : 4K Ultra HD (3840 x 2160) | Refresh Rate : 60 Hertz | Viewing angle : 178 degrees Connectivity: Dual Band Wi-Fi | 3 HDMI | 2 USB ports| Optical port| AV port| Ethernet port | 3.5 mm jack | Bluetooth 5.1 Sound: 30 Watts Output | Dolby Atmos | DTS-X Smart TV Features: Google TV, Built-In WiFi, Chromecast built-in, 2GB RAM, 16GB ROM, Supported Apps: Netflix, Prime Video, YouTube, Zee5, etc., Ambient Light Sensor, Far Field Microphone, ALLM (Auto Low Latency Mode), Hands Free Voice Control and Google Assistant Operation Display: 4K Dolby Vision IQ | HDR10+ | HDR 10 | HLG | Reality Flow MEMC | Vivid Picture Engine 2 | Wide Colour Gamut- DCI-P3 94% (typ) Warranty Information: 1 Year Warranty on Product and 2 Years Warranty on Panel provided by the brand from the date of purchase › See more product details"
